# Response ID, Median sentence length by number of characters
116333,103.5
1163402,122
1163476,105
1163553,159.0
1163911,92.5
1163955,119
1163987,111.5
1164017,131.5
1164168,118
1164179,93
1164198,212
1164235,126
1164329,68.0
1164382,94.0
1164488,90
1164496,152.5
11644,67.5
1164604,104.0
1164626,147
116465,99.0
1164775,109
1164862,85.0
1164913,110.5
116491,124.5
1164969,75.5
1165071,110
1165085,95.0
1165154,173
1165196,131.5
1165229,78.5
1165367,88
1165432,102.5
1165441,146
1165504,119.0
1165530,131
1165565,87
1165600,95
1165738,97
1165743,97.5
1165979,89
116604,79
1166105,105.5
1166215,65.0
1166250,196
1166282,87.5
1166363,201
1166495,68
116669,134.0
1166893,86
1166978,96.0
1167147,123
1167243,54.0
1167264,144.5
1167274,86.5
1167334,109
1167363,77
1167402,96.0
1167441,91.5
1167709,92
1167733,145
1167801,99
1167915,160
1167954,76
1167964,106
1167972,69.5
1168117,124.0
116813,118
1168162,149.0
1168365,127
1168412,108.0
116841,122
1168447,38.0
1168494,92.5
1168591,123.5
1168714,79
1168889,125
1168987,174.0
1169005,87.5
1169072,137.5
1169170,82
1169186,117
1169366,78.0
1169375,132
1169476,145.0
116952,123
1169537,122.0
1169543,106.5
1169565,89
1169824,73
1169848,107
1169935,127.0
1169983,67
1170027,91
1170049,106.5
1170071,121.0
1170169,96
1170264,143
1170268,157
1170302,151.0
1170557,179.0
1170582,153.0
1170657,75.5
1170856,142
1170917,86.5
1170971,100
1171007,83
1171026,83
1171147,111.5
1171225,128.0
1171284,110.5
1171325,83
1171476,52.5
1171534,111.5
1171611,109.5
1171645,82
1171780,65.5
11717,109.5
1171832,155.0
1171904,72.5
1172289,129
1172332,148
117237,104
1172553,114
1172599,117
1172673,110
1172732,73
1172794,130
1172884,91
1172909,100
117293,95
1172944,113
1172956,101
1173031,52
1173148,94.5
1173244,87.0
1173379,143
1173480,104.0
1173525,77
1173560,100
1173871,78
1174083,93
1174142,78
117426,112.0
1174292,107.5
1174342,181
117434,127.0
1174410,119
1174438,48
1174551,73
1174572,64
1174577,84.5
1174920,96.5
1175080,59
117512,136
1175182,89.5
1175383,76.0
1175412,66
1175447,112.0
1175488,126.0
1175579,82
1175980,79
1175987,76
1176184,108.5
1176422,247
1176513,84
1176593,111
1176638,104
1176866,61.0
1177255,70.5
1177316,112.0
1177462,121.0
1177920,116
1177960,145
1177989,117
1178027,156.5
1178569,92.5
1178647,67.0
1178681,76
1178982,77.0
1179151,121.0
1179242,188
1179364,54
117940,128
1179504,42.5
1179571,89
1179682,168.0
1179881,64.0
1180480,145
1180577,134.5
1180768,68
1181048,86.5
1181077,105.5
1181311,122.0
1181356,68.0
1181599,168.5
1182004,58.0
1182396,91.5
1182680,92.5
1182732,137
1182786,114.5
1182862,128.5
1182880,88
1182891,124
1183101,102.5
1183427,62.0
1183428,99.0
1183644,120
1183664,129.5
1183885,59
1183977,111
1184000,99
118423,85.5
1184298,69.5
118490,89.0
1184947,126.5
1185103,113
1185429,92.5
1185524,113
1185535,53.0
1185604,124.5
1185938,81
1186426,86.0
1186488,97.5
1186575,75
1186848,104
1187044,100.5
1187155,67
1187561,100
1187581,85
118758,75
1187884,153
1187893,111.0
1188004,67.0
1188120,94.0
1188748,99
1188792,96
1188866,128
118886,125
1189090,134
1189197,79
1189330,123.0
1189437,103
1189553,65.5
1190083,89.5
1190208,64.0
1190247,93.5
1190407,83.5
1190458,141.5
1190595,123.0
1190625,209.0
1190678,119
1190793,90
1190908,98
1191115,126.5
1191175,98.5
1191728,133.5
1191804,127
1191927,119
1192085,115.5
1192291,158.0
11923,105.0
1192415,66.5
1192426,70
1192574,151.0
1193203,53.5
1193412,60.0
1193586,74.5
119361,116.0
1193637,97
1193674,124
1193763,121.0
1193832,105.0
1194796,87
1194947,88.5
1195180,111.0
1195644,87.5
1195764,109
1196186,89
1196400,54.5
1196559,126
119667,57
1197013,88
119703,268
1197119,107.0
1197915,88.0
1197988,67
1198112,110
1198292,52
1198364,90
1198657,81
1198729,122
119900,65.0
1199066,128.0
119912,135.5
1199574,131.5
1199597,90
1199660,67
1199806,76.5
1199948,109.5
1200117,80.0
1200160,76.5
1200224,97
1200422,117
1200520,69.0
1200736,96.5
1200782,132.5
1200912,99
1200966,131
1201003,81.0
120103,75
120129,95.5
120142,150.5
12015,159
1201717,65.0
1201788,93.5
1201791,102
1201972,99.5
1202028,58
1202139,112.5
1202154,57
1202210,79
1202448,254
1202463,55
1202581,144.0
1202696,71
1202820,100
1202830,50
1202837,76
1203095,241.0
1203295,127
1203980,144.5
1204080,84.5
12040,171.0
1204290,167
1204317,110
1204360,125.0
1204901,106
1204956,136
1204971,105
1205275,87.0
1205284,248.0
1205418,113.0
1205597,113.0
1205694,80.5
120573,286
1206043,101
1206100,65.0
120610,108
1206330,111.5
1206567,101.5
1206790,88
1206804,100
1206874,84.0
1207072,99
1207117,116.5
1207277,104
12072,112
1207331,109
1207432,74
120762,103.0
1207681,124
120793,93
1208016,70.5
1208115,125.0
1208327,105
1208336,140
1208345,120.5
1208371,65
1208392,140
1208494,61.5
1208576,86.5
120858,247
1208675,131
1208682,55
1208868,90
1209022,89
1209138,73.0
1209251,94.0
121005,95.0
1210287,98.0
1210817,145
121083,123
1210937,160
1210964,129
1211212,189
121142,123
1211532,101
1211633,115.0
1211657,145
1211673,116.0
1211818,84.5
121238,95
1212423,35
1212524,87
1212635,95.5
1212655,79
1212864,119.5
1212877,95.5
121295,94
1212986,90.5
12130,436
1213412,85
1213421,118.5
1213630,169.5
1213890,133
121393,87.5
1214305,115.0
1214316,81.0
1214622,133
1214625,68
1214925,113
1215043,60.5
1215222,80
121551,125.0
1215589,172
1215923,113
1215932,103
1216116,123
1216369,97.5
1216680,107
1216734,80.0
1216752,94.0
1216949,89.5
1216961,72
1217190,127
1217602,77
1218061,104.5
1218175,133.0
1218265,83
1218291,207.0
1218797,145
1218955,111.5
1219033,92
1219094,79
1219360,76
1219389,118.5
1219810,87.5
1219938,113
1219988,138
1220165,79.0
1220399,95
122043,98
1220510,51
1220792,54.5
1220927,98.0
1221265,34
1221419,94.0
1221538,66
1221644,422.0
122164,136.0
1222058,102.5
1222065,69.5
1222269,107.0
122241,82
1222636,129
1222679,108
1222813,104.0
1222918,120
1223368,84
1223973,111.0
1224447,80
1224492,84
122553,88.5
1225805,98.5
1226137,157.5
1226167,98
1226253,211
1226721,116.5
1226973,86
1227249,90.5
1227606,92.5
1227897,104.5
1228243,86
1228252,90.5
1228344,105.5
1228877,101
1228899,101
1228978,64.0
1229300,127.5
1229440,106.5
1229456,128
1229718,252.5
122973,138
1229862,150.0
1230093,108
1230150,95.5
1230192,81.0
1230250,132
1230337,89
1230802,114.5
1231169,90
1231324,73.0
1231499,109.5
1231614,68.5
1231684,81.5
1231858,121.0
1232166,131
1232179,113
1232239,132
1232370,95
1232625,88.5
1232686,90
1232958,112.5
1232989,180.0
1233176,119
1233515,126
1233542,56
1233638,120.5
1233798,74
1234298,135
1234305,70
1234322,122
1234478,119.5
1234557,87.0
1234637,204.0
1234920,58.0
1235039,123
1235163,131
1235363,150.0
1235384,61
123556,90
123581,136.5
1235842,124.0
1235866,96.0
123588,142.5
1236037,160
1236120,123
1236188,90.0
1236315,123
1236377,64
1236435,230
1236496,37.0
1236568,98
123683,100.5
1237271,189
1237393,119
1237588,115.5
1237942,150.5
1238300,89
1238534,93.0
1238679,171.5
1238700,85.0
123885,109
1238869,101
1239233,107.0
1239289,122
1239387,79.0
123954,227
1239837,56
124000,130
1240311,114
1240370,119
1240690,115.0
124091,60.5
12410,163
1241505,63.0
1241662,114
1241893,88
1242689,88.0
1242759,101.5
1242840,105.0
1242954,110
1242978,81.0
1243168,89.5
1243285,87.5
1243325,119.0
1243747,93.0
1243897,81
1244198,76.5
1244220,136
1244230,88.0
124473,99.5
1244877,145.0
1245144,73.0
1245271,110
1245534,119.0
1245682,128
1245716,133.0
1245830,74
1245858,102
1245922,134
1246011,140
124603,65
1246098,109
1246494,122.0
1246559,96.0
1246574,80.0
1246984,80
1247022,125.0
1247549,106
1247584,98
1247710,106.5
1248081,128.5
1248910,94
1248988,102
1249331,125.5
1249499,173.5
1249550,106.5
1249660,196
1249928,114
1250198,93
1250231,121
125037,110.5
1250553,92.5
1250720,84.0
1250723,121.5
1251028,84.0
125107,134
1251358,84.5
1251368,155.0
1251404,138
1251412,116
1251557,121.0
1251932,58.5
1252041,96
1252138,110
1252208,159.0
1252243,49.0
1252690,130.5
1252698,100
1252905,97
12533,163
1253475,110.5
125347,74.5
125348,120.0
1253709,104
1254051,115
1254076,122.5
1254161,110
125439,111.5
1254410,133.0
1254438,158
1254527,64.5
1254592,111.5
1254713,127.5
1254807,105.5
1254937,206
1255150,84.5
1255360,102.5
125545,118.0
1256316,83
1256658,80.5
1256980,121.5
125704,82
1257286,87.5
1257879,138
125794,89.5
1258000,88
1258043,166.0
1258115,75
1258563,94
1258596,89
1258642,71
1259161,102.0
1259563,124
1259751,104
1259835,139
12600,70.5
126012,82.0
1260321,78
1260398,104
1260549,97.0
1261375,70.5
1261470,75.0
1261571,87.5
1261714,111
1261841,220
1262051,121
1262169,70.5
1262171,102.5
1262293,173
1262431,95.0
1262497,97.0
1262801,73.0
1262826,63
1262860,88
1263197,101
1263291,85.5
1263328,77
1263388,106.0
1263498,132
1264305,62
1264933,181.0
1265355,89.5
1265387,128.0
1265470,64
1265550,97.5
1265643,69
1265932,72.5
1266148,82
1266551,73
1266585,130
1266819,130
1267349,93
1267483,85.5
1267508,92
1267936,82.0
1268009,94.5
1268043,94
1268389,59.5
1268660,117.0
1268792,177
1269635,93
1270316,93.0
1270349,109.0
1270376,86.0
1270562,282.0
1270604,95.5
1270610,71.5
1270960,48
127102,77.5
1271123,127.5
1271234,101
1271259,259.5
127154,78.5
1271613,212
1271654,80.0
1271702,105
1271855,107
1272054,128.5
1272259,99.5
1272488,136
1272584,107.0
1272727,97
1272734,75.5
1272936,113
1272992,172
1273042,109.0
1273110,146.5
1273125,80.5
12731,73
127325,59
1273337,105
1273395,124
1273447,93.5
1273633,168.0
1273655,54.5
1273721,95
1273981,135
1273984,120.0
1274844,90.0
1274945,80
1275111,128.5
1275826,99.0
1275846,88.0
127595,110.5
1276177,176.0
1276196,109.0
1276276,225.0
1276413,73.0
127642,76.5
1276447,101.5
1276561,72.5
127656,92
127657,132.0
1276969,158.0
1277260,86
1277310,163.0
1277339,120
1277634,54.5
1277669,109.0
1277729,88
1277790,75
1277889,131.5
12779,122
1278134,111.5
1278296,118.5
1278490,53
1278524,164.5
127866,82.5
1278956,68
1279078,57.5
1279134,73.5
1279194,130.0
1279370,84
1279602,88.5
1279648,121.0
1279742,114
1279990,119.5
1280108,160.5
1280315,98.5
128033,105
1280401,58
1280518,128
1280579,89
1281041,162
1281081,103.0
1281296,138.5
1281611,84.0
1281636,54
1281875,144
1282395,86.0
1282474,99.5
1282586,84
1282696,122
1282758,100.5
1282776,81
1282801,128.5
1283134,125.5
1283416,72.5
1283449,126.5
1283963,85
1284138,107.5
1284227,82.0
1284228,91.0
1284383,96
1284444,70
1284705,87
1284763,114
1285067,91.5
1285087,108.0
1285124,152
1285151,139.5
1285404,83.0
1285480,106
1285567,111.0
1285608,99.5
128563,90.5
1285680,110.5
1285910,156
1286488,159.0
1286501,46.0
1286790,98
1286791,85
128690,89.5
1287028,82
1287264,100.5
1287278,103.0
1287393,72
1287401,103.0
1287450,81.5
128748,82.0
128798,121.5
1288629,168
1288671,71.5
1289381,138
1289459,112
128987,66
1289933,80.0
1289941,75.5
1290036,142.0
1290874,142
1290876,157
1291062,146.5
1291119,151.0
1291145,270
1291347,116
129159,85
1291677,157.5
1291998,94.5
1292218,85.0
129269,162
1292912,136.5
1293110,60
1293150,186.5
1293173,97.0
1293221,82
1293242,97.0
1293405,115.5
1293498,69.0
1293651,156
1293756,695.5
129378,68.0
1293936,109
1294243,101.0
129424,209.0
1294277,72.5
1294366,144
1294448,102
1294694,90.5
1295067,107
1295478,95
1295492,61.0
1295817,95
1296422,99
129659,57
1296732,91.0
1296828,164
1296943,93
1296993,64.0
1297427,225
1297633,237.5
1297726,177
1298011,79
1298276,93.0
1298381,149.0
1298561,118
1299271,88
1299314,116.5
1299334,172.0
1299460,82.5
129964,72
1299713,79.0
1299852,82.0
1299928,118.0
1300290,141.0
1300516,80
1300821,85
1301300,127.0
1301403,106
1301504,89.5
1301682,71.0
1301928,80.0
1302106,73.0
130215,85.0
130222,112.5
1302467,76.0
1302839,166
1303055,74.5
1303139,129.0
1303755,78
1303916,78
1304031,131.0
130429,102.0
1304325,104
1304508,202
1304821,103.0
1305236,104.5
1305240,106.5
1305248,146.5
1305417,81
1305906,95
1305928,125
1306328,87.5
1306397,100.0
1306423,93.5
1306607,110.5
1306627,121.0
1306890,88.5
1307364,81
1307705,132.5
1308777,145
1308844,121
1309204,164.0
1309222,78
1310442,141
1310455,53
1310566,111
131059,104
131064,109.5
1310773,129
1310792,211
1310952,64.0
1311071,147.0
1311181,81.0
1311391,98.5
1311489,87.0
1311812,106.5
1311869,74
1311871,63.5
1312131,124
1312256,112
1312559,136
1312890,117
1313138,83.0
131324,48.5
1313262,74.0
1313296,163
1313483,183
1313540,116.0
1313953,121
1314086,100
1314094,103.0
1314208,70
1314212,51.0
1314405,85.0
1314534,55.0
1314823,81
13148,89.0
1315203,111.0
1315244,74
1315427,92
1315566,144
1315728,111
1315943,85
1315961,154
1316002,72
1316417,147.5
1316459,90
1316703,92.0
1316786,67
1316840,86
1316893,90
1316911,121
131717,186.5
1317270,66.0
1317562,72.5
1318064,80
1318387,121
131838,133.0
1318553,157
1318555,183.0
1318655,102.0
1318929,115
1319241,133.5
1319301,174.0
1319320,153.0
1319386,118
1319473,93
13194,92.5
1319703,76
1320086,123
1320105,105.0
132028,107
1320757,95
1320779,101.0
13210,81.5
1321313,149.5
1321705,100
1321982,107.0
1322085,99
1322168,68
1322629,72
1322867,75
1323000,60
1323175,186.0
1323204,135
132359,75.5
1323900,159
1323958,102
1324012,96
1324036,95
1324279,83.5
1324450,144
1324520,79
1324776,110.5
132480,26.5
1325192,74.0
1325227,84
1325800,116
1326401,128.0
1326419,64
1326824,111
1326881,43
1326891,121
132694,63
1327006,115
1327110,154
1327245,100.0
1327693,118
1327758,141
1327822,198.0
1328160,81
1328621,188.5
1328658,121.0
1328828,116.0
1328929,99.5
1328937,117
1328963,116
1329241,123
1329325,94
1329399,125
1329475,90
1329554,54.5
1329824,121
1329832,128.0
1330245,91
1330535,66
1330584,115.5
1330741,51.5
1330811,74
1331015,84
133115,85.5
1331761,126
1332208,128.5
1332317,146.0
1332536,120
1332565,97.0
1332680,175.5
1332702,105
1332708,116.0
1332898,93.0
1332963,72.0
1333442,106.0
1333703,163.0
1334267,110.0
1334338,95
1334380,73.5
133459,122.0
1334861,67.5
1335002,83.0
1335119,117.0
1335332,172
1335394,74
1335672,116.5
1335815,151
1335976,99.0
1336039,147
1336198,182.0
1336210,58
1336284,119
1336331,130.0
133656,75.5
1336748,102.0
1336852,100.5
133707,99.0
1337087,116.0
1337132,60.0
1337175,125
1337907,87.5
1338028,107
1338251,100
133858,128.0
133862,65.5
1338632,102.5
1338753,73
133902,116.0
1339300,96
1339700,99
1339707,92
1339885,191.0
1340113,100.0
1340199,104
1340408,163.0
1340428,86
1340527,81.0
1340599,105.0
1340733,131
1340850,66.0
1341376,80
1341712,171.5
1341741,142.5
1341859,105.5
1342967,99
1343388,128
134339,224.5
1343760,120
1343937,76
1344215,112.0
1344694,178
134469,129.5
1344754,85.5
1344775,108
1344823,103.5
1345172,109
1346102,90
1346544,99.0
1346565,146.5
1346734,94
1346740,112.0
1346751,87.0
1346977,96.5
1347061,94.5
1347087,102
1347120,101
1347188,100.0
1347229,160.5
1347307,98
1347409,131.5
1347639,67
1347715,121.5
1348116,70
1348170,73.0
1348281,92.0
1348298,102.5
1348345,134
1348660,58.0
1348935,124
1349217,132.0
1349506,154.0
1349534,143
1349535,87
1349977,133.5
1350145,120
1350313,107.5
135062,115
1350639,91
135078,231
1350846,105.5
1351210,115.5
1351239,78
1351260,70.0
1351461,126
1351606,108
1351833,100
1351971,84.0
1352097,66
1352148,184.0
1352604,108
1352639,72.5
1352771,91.0
1352792,59.5
1353003,117.0
1353013,96.5
1353162,71.0
1353168,166
1353593,95
1354120,93
1354231,80
135427,96
1354307,109
135448,78
1354516,225
1354685,68
1355024,118.0
1355044,66
1355089,61
1355292,94
1355555,290.0
1355622,84.0
1355791,103.0
1355815,117.0
1356203,97.0
1356359,71
1356555,63.5
1356694,106.5
1356816,111
1356933,101.5
135719,85
1357253,131.0
1357297,73.0
1357482,79.0
1357524,79
1357667,142
1357724,99.5
1357725,59.0
1357895,120
1358050,137.5
1358250,105
1358340,71.0
1358409,102.5
1358678,85
1358742,57.0
1358792,180.5
1358886,93
1358958,110.0
1359019,94.0
1359035,120
1359199,92.0
1359280,83.5
1359304,101.0
1359788,92.0
136035,150.5
1360504,78.5
1360761,157
1360777,67
1360916,296
1360982,66.0
1361043,193.0
1361054,93.5
136109,72.0
1361485,135.5
1361494,120.5
136161,96
1361722,117
1361756,116
1362041,112.5
1362107,99
1362211,111.0
1362318,130
136235,94.0
1362554,136.5
1362574,66
1362751,70
1363228,76.5
1363428,80
136346,281
1363582,117
1363611,81.5
1364101,80
1364289,56.5
1364304,90
1364766,183.5
1364947,50.0
1364983,128.5
1365003,113.5
1365009,61
136505,232
1365083,77
1365117,86
1365672,104
1365756,108.0
1365776,88.5
1365916,152
1366007,145
1366100,69
1366347,66.0
1366352,96
1366821,72.0
1367007,92.0
1367075,175.0
1367449,101.5
1367455,132
1367521,164.0
1367579,183
1367640,99.0
1367819,81
1367979,80.0
1368174,110.5
1368186,125.5
1368416,134.0
1368604,86
1368697,70
1368963,130.5
1369110,105
1369220,152.0
1369657,87
1370013,186
1370087,69.5
1370215,114
1370560,225.0
1370759,90.0
1370765,82.0
1370777,94
1371485,75.5
1371533,57.0
1371749,55
1371803,122
1372010,142
1372778,94.0
1373126,41
1373242,101
1373517,104
1373570,128.5
1373605,81
1373634,210
137438,78
1374444,125.5
1374599,99.0
137466,95
1374675,115
1374680,111
1374745,66.5
1374769,114.0
1375215,177
1375526,88
1375958,92
1376667,158.5
1377107,103
1377130,84
1377456,126
137777,143
1377904,77.0
1378067,68
1378204,147.0
1378284,112
1378461,94
1378691,131
1378870,80
1379069,158
1379169,135
1379190,90
1379306,89.0
1379580,120.0
1379647,66.0
1379675,137
1379718,156
1379836,86.0
1380243,152
1380444,138
1380600,134
1380636,53.0
138075,89.0
1380983,112
138102,91.0
1381761,84.0
1381860,62.5
1381867,100.5
1382402,127
1382432,70
1382670,119.5
1382826,95.0
1382982,118.0
1383076,159
1383187,128
138335,82
1383592,97
1384177,176
1384499,90
1384610,111
1384742,97
1384852,126.5
1385026,103
1385159,144.5
1385197,130.5
1385281,106
1385606,131.0
138562,58
138585,67
1385995,100
138619,102
1386285,133
1386341,84
1386656,102
1386885,71
1386981,111.5
1387104,93
1387124,163.5
1387160,84.0
1387376,105
1387433,88.5
1387637,113.0
1387789,111.0
1388145,112.5
1388174,96
1388232,70.0
1388234,110.0
1388546,94
1388859,35
1388870,101
1389039,71.0
1389071,93.0
138925,102
1389273,79.5
1389315,78
1389348,115
138942,107.0
1389494,92.0
1389502,89
1389776,65
1389928,131.5
139004,138
1390206,216
139027,116.5
1390370,94.0
1390371,167.5
1390554,147
1390664,85
1390765,138
139094,114
1390973,79
1391154,96.5
139132,68
1391404,135.5
1391423,167
1391527,69.5
1391797,104
1392013,113.0
1392406,52
1392533,102
1392560,85
1392945,122
1392946,90.0
1393001,61
139316,106.5
1393276,95
1393351,103.5
1393525,98
1393619,117
1393682,137
1393725,120.0
1393994,89.5
13940,58.5
1394245,73
1394447,112.0
1394540,132
1394788,191.0
1395025,61
1395206,87.5
1395235,87
1395384,77.0
1395734,94.0
1395856,42.0
139592,76.0
1396208,109
1396592,84
1396707,106.0
1396946,92
1397082,190.0
1397179,43
1397185,62
1397197,77.5
1397325,140.5
139743,86.5
1397505,88
1397725,120.0
1397879,90.5
139819,141
139820,95.5
1398306,113
1398801,97
139883,112
1399322,176
1399455,81.0
139949,108
1399985,100
1400068,48.0
1400152,119.5
1400355,90
140055,181.5
1400867,150.5
1401469,105
1401824,45
1401829,101
140184,85.5
1402224,75.5
1402357,70.5
1402708,130
1402934,80
1403235,81.5
1403529,105
1403787,114.0
1404051,129
1404380,109
1404709,97.0
1404823,77.5
1404903,116
1404983,80
1405265,97.0
1405337,60.5
1405607,117.5
1405612,157.0
1405659,104.5
140614,88.0
140637,130.5
1406462,84
1406688,83.5
1406737,77.0
1406787,102
1406898,112
1406982,90
1407348,130.0
1407471,112
1407883,136.0
1407893,82.5
1408430,57.0
1408453,120.0
1408623,107.0
1408761,130
1408795,81
1408806,89.5
1409110,130
1409182,130
1409194,212
1409265,84
1409810,157
1410178,61.5
1410631,95.0
1410658,83
1410813,79.0
1411008,92
1411164,90
1411176,149.0
1411232,109.0
1411383,68.5
1411477,151
1411758,62
1411862,259
1412246,247
1412350,68.5
1412408,139
1412511,87
1412528,65
1412682,115.5
1412896,71.0
141346,118
141405,72
1414472,112
1414676,77
1414706,140
1415206,51.5
1415785,84
14157,67
14163,138
1416443,209.0
141650,63
1416757,228
1416877,61
1417527,55
1417584,116
1417646,205
1417755,95
1417759,110.0
1417785,80
1417976,123.5
141811,114.5
1418209,74
1418887,110.0
1418894,71
1418917,73
1419113,78.5
1419598,29
1419617,108
1419811,136
1419929,89
1420461,80
1420564,131.0
1420790,154
1421108,93.5
142114,119
1421701,82
1421729,97.0
1421769,70
1421939,69
1422642,126
1422861,102
1422894,64
1422987,141.0
1423696,94
1423895,49.0
1424484,97
1424521,66
1424545,102.5
1424711,140.0
1424828,69.0
1424846,92
1424857,64.0
1425021,132.5
1425210,107
1425276,102.5
1425307,126
1425368,76
1425515,97.0
1425688,67.5
142576,97
1426099,54.5
142642,95
1426459,117.5
1426466,101.0
142685,103.0
1426885,91.5
1426932,105
1426976,129.5
1427623,89.0
1427763,124
1427784,101
1427804,71.5
1427921,113.0
1428262,295
1428321,111.0
1428728,108.0
14288,96
1428904,311
1429329,83.0
1429694,84
142991,308
1430295,63
1430415,67.0
1430584,86.0
1430715,82.5
1430756,77.0
1430760,157.5
1430784,149
1430816,112
1430828,97.5
1431274,37.0
1431339,52.0
1431594,121
1431668,87.0
1431699,95
1431701,184.0
1431839,73.0
1432072,80.0
1432196,78.5
1432328,157
1432548,141
1432650,75
1432658,96.5
1432681,68
1432721,115
1432725,93
1432999,81.0
143306,87
1433088,124.0
1433645,194
1433965,114.0
1434119,104.5
1434392,124.5
1434900,85
1435383,98.5
1435543,129.0
143563,83.5
1436325,61
1436407,112.0
1436872,187.5
1436890,96
1436897,76
1437165,83.5
1437202,95
1437467,91
1437619,103.5
143780,95
143785,77
1438193,99.0
14382,150.0
1438516,60
1438884,128.5
1439002,103
1439143,218.5
1439177,86
1439337,115.0
1439382,92
1439598,94.5
1439650,133.0
1439759,123
1439791,88.0
14397,117
1439819,105
1439837,106
1439912,75.0
1440100,66
1440110,151.5
144045,471
144050,67
1440922,90.5
1440982,95.0
1441095,110
1441238,134
1441268,40.5
1441452,89
1441487,119
1441557,84.5
1441576,90.5
1441585,83
1441735,80
1441940,81.5
144209,171
1442171,140
1442408,84
1442531,77
1442539,108
1442647,302.0
1442833,91
1442931,175
1443043,130
1443325,59
1443675,111
1443687,81.5
144375,80.0
1443872,117.5
1443965,71.5
144418,109
1444430,73
1444431,46
1444735,89.0
1444892,91
1444939,70
1445116,113.0
1445177,105
1445231,90.5
1445417,90
1445771,123
1445812,109.5
144629,123
1446521,97.5
1446549,64.0
1446679,119.0
1447041,126.5
1447047,97.0
1447096,51
14471,51.0
1447539,140.0
1447603,79.5
1447767,111.0
1447945,80.0
1448354,127.5
1448478,130.0
1448680,127.5
1448728,65
1448761,113
1449073,111
144911,78
1449275,66.5
1449466,98
1449554,175
1449555,74
1449733,229
1449754,102
1449783,92
1449811,123.5
144990,82
144997,112.0
1450186,102.0
1450410,79.5
1450658,125.5
1450908,63
1451022,112
1451463,127
1451465,78
1451526,137
1451531,128
1451647,86
1452225,105
1452259,95
1452380,169.0
1452402,128.5
1452529,83
1452651,75
1452800,105.5
1452938,129
1452968,135
1453127,102.0
1453136,111
1453503,97
1453563,107.5
1454250,85
1454341,145.0
1454648,102
1454915,115.5
145496,143
145529,119.5
1455546,100
1455614,84.0
145580,92
1455975,107.5
1456019,266
1456333,107.0
145644,89
1456564,144.0
145666,78.0
1456829,131.0
1456863,124.5
1456964,143
1457297,85
1457413,82.5
145752,107
1457665,86.0
1457828,99.0
1457945,105.5
1457959,86.0
1457996,78.5
1458251,146.5
1458451,88
1458471,163
1458908,244
1458963,114
1459164,110.5
1459676,155.0
1459973,79
1460175,103.5
1460442,59.5
1460443,74
1460455,100
1460866,98.0
1460887,79
1460903,81
1460978,109.5
1461097,67
1461195,84
1461640,195.0
1461704,95
146183,191
1462587,75
1462793,120
1462929,188.5
146304,89
1463139,90.5
1463408,112.5
1463646,270
1463843,83.0
1464164,147.0
1464190,113.5
1464369,244.5
146456,70.0
1464933,111
1465332,99.5
1465398,115.0
1465689,105
1465904,60.0
1466154,104.0
1466256,208.0
146632,102.5
1466384,100
1466456,83.0
1466562,75
1466593,74
1466631,116
1466685,110
1466817,76
1467063,67.0
1467244,59
1467667,72.5
1467739,102
146778,73
1467958,93
1467964,137.0
1468002,104
1468100,86.0
1468386,223
1468389,69.5
1468561,64.5
1469088,106.5
1469214,85
1469368,119
1469818,111.0
1469835,76.0
1469869,110
1470044,81
1470293,122
1470658,98.0
1470758,113.0
1471183,76
1471559,96.0
1471601,141.5
1471956,160.0
1472205,71.5
1472359,100
147236,76
1472470,113.0
1473155,121
1473204,98.0
1473209,99
1473515,121.5
147353,83
1473557,118
1473585,90
1473594,106.0
1473630,169
1474103,106
1474522,9
1474549,86
1474704,93
1474729,127.5
1474822,71.5
1474964,90.0
1475185,118
1475426,267
1475497,101
1475558,112.5
1475603,106.5
1475778,83.5
147597,87
1476017,116
147680,134.0
1476813,61
1477226,99.0
1477249,109.0
1477367,86.5
1477480,102.5
1477499,115.0
1477792,109
147799,106.5
1478357,134
1478582,39.0
1478692,77
1478718,114.5
1478736,47
1478880,127
1479075,98.5
1479372,62
1479542,148.5
1479890,89
1480023,125
1480287,112
1480574,114
1480791,97
148079,140.5
1480946,100
1480965,166
1481166,134
1481340,76.5
1481375,108
1481416,88.5
1481490,82.0
1481742,120
1481780,121.5
148182,103
1481836,66
1482445,72.5
1482461,78
1482801,90
1482850,87
1483077,104
1483366,76.5
1483466,85
1483538,108
1483561,350
1483745,90.0
1483810,108.5
1483870,103.0
1484083,121
1484285,46
1484785,82.0
1484875,102.5
1484958,66.0
1485195,127
1485238,92
1485362,69
148625,51
1486465,69.0
1486979,261
1487122,69.5
1487344,79
1487455,59.5
1487708,174.0
1487842,85
1487962,159.5
1488169,66
1488220,114
1488298,88.0
1488357,96
1488760,128.0
1489001,96.0
1489035,127.0
1489224,101
1489276,113
148941,64
148958,88.5
148959,95
1489661,82.0
1489857,121
1490058,95
1490134,110.5
1490204,166
1490318,110
1490428,119
1490637,65.0
1490702,85
149081,84
1490830,111
1490907,115.5
1491268,79
1491387,108
1491818,92.0
1492463,77
1492491,164
1492628,72.5
1492864,82.5
1493025,105.5
1493171,101
1493498,108.0
149358,85
1493824,107
1493917,112.0
1494038,55.5
1494104,81
1494212,131
1494213,118
1494223,199.5
1494458,88
1494618,97.5
1494674,103.5
1494797,108
1494803,106
1495274,106
1495327,76
1495373,94
1495423,89.0
149591,74.0
